CPD_ID,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,Run
EC_11261900,6.35E-10,0.205,0.841,1.07,0.128,2.80E-06,-0.00108,0.8,8.51,0.938,9.45E-07,-0.0883,0.661,1.68,0.817,4
EC_11192049,6.79E-10,0.206,0.957,1.04,0.119,2.98E-06,0.0188,0.7,18.2,0.829,2.97E-06,-0.0091,0.674,10.5,0.787,4
EC_11262380,6.35E-10,0.432,0.814,9.81,0.0203,9.19E-07,0.0215,0.402,16.8,0.875,4.39E-07,-0.0242,0.488,1.77,0.721,4
EC_11257142,8.93E-06,-0.0207,1.03,16,0.792,8.29E-07,-0.0067,0.126,14.7,0.229,2.99E-08,-0.0863,0.118,0.975,0.0727,4
EC_11301156,4.09E-06,-0.0121,1.03,2.84,0.82,8.71E-07,0.00562,0.388,11.6,0.828,3.64E-07,-0.013,0.466,2.57,0.614,4
EC_11258179,2.01E-09,0.675,0.912,-15.9,0.0279,9.14E-07,-0.00207,0.617,17.5,0.511,4.41E-07,-0.0194,0.4,2.19,0.189,4
EC_27080206,1.42E-09,0.612,1,4.02,0.0795,3.88E-08,-0.0218,0.127,1.95,0.265,6.35E-10,-0.377,0.0478,1.36,0.0963,4
EC_11259640,6.35E-10,0.369,0.887,-9.44,0.0368,1.76E-06,0.0123,0.404,3.64,0.337,8.60E-07,0.0157,0.212,13.7,0.0706,4
EC_27082048,6.35E-10,0.31,0.973,9.24,0.13,6.66E-06,0.0422,1.05,1.82,0.972,2.07E-06,0.00448,0.792,0.851,0.897,4
EC_11261479,4.97E-08,0.0196,0.848,2.3,0.896,6.35E-10,-0.104,-0.0063,8.95,0.00712,1.49E-07,-0.555,-0.0189,3.17,0.93,4
EC_27083992,1.86E-09,0.64,0.903,10.6,0.0459,3.90E-09,-0.0723,0.0932,0.571,0.129,6.35E-10,-0.367,0.087,0.78,0.0658,4
EC_11261582,8.97E-06,-0.0207,0.974,15.6,0.814,8.69E-07,0.0324,0.406,17.8,0.361,1.00E-08,-0.188,0.216,0.747,0.133,4
X-WE60665001,3.98E-09,0.557,1.03,1.02,0.599,9.52E-06,0.0071,0.374,1.77,0.869,3.65E-06,-0.102,0.487,0.48,0.826,4
EC_11261632,6.35E-10,0.434,0.687,9,0.0106,2.20E-08,-0.0184,0.0326,13.5,0.0468,1.17E-09,-0.315,-0.0527,1.85,0.091,4
X-WE60667960,3.69E-09,0.54,0.575,15.2,0.0155,5.96E-06,-0.0118,0.6,2.53,0.965,4.38E-07,-0.391,0.346,0.303,0.763,4
